---SIMILARITIES VIDEO URL <-> IP BETWEEN DIFFERENT VANTAGE POINTS---
https://youtu.be/05HuTGeF5AA
                              ID                           Url                                                IP      VantagePoint
1125  2020-10-30 00:19:33.537800  https://youtu.be/1taLTJPwhCg  [173.194.188.137]                               ip-172-31-43-135
1174  2020-10-30 06:19:32.159014  https://youtu.be/1taLTJPwhCg  [173.194.187.137]                               ip-172-31-43-135
1223  2020-10-27 12:26:06.505198  https://youtu.be/1taLTJPwhCg  [173.194.14.73]                                 ip-172-31-13-30
1272  2020-10-27 18:24:32.541860  https://youtu.be/1taLTJPwhCg  [173.194.14.73]                                 ip-172-31-13-30
1321  2020-10-28 00:21:53.539708  https://youtu.be/1taLTJPwhCg  [173.194.52.9]                                  ip-172-31-13-30
1370  2020-10-28 06:21:04.971938  https://youtu.be/1taLTJPwhCg  [173.194.14.73]                                 ip-172-31-13-30
1419  2020-10-29 12:20:09.684134  https://youtu.be/1taLTJPwhCg  [173.194.52.9]                                  ip-172-31-13-30
1468  2020-10-29 18:19:52.235611  https://youtu.be/1taLTJPwhCg  [173.194.14.73]                                 ip-172-31-13-30
1517  2020-10-30 00:21:18.123726  https://youtu.be/1taLTJPwhCg  [173.194.52.9]                                  ip-172-31-13-30
1566  2020-10-30 06:20:29.571173  https://youtu.be/1taLTJPwhCg  [173.194.14.73]                                 ip-172-31-13-30
1614  2020-10-27 12:25:06.534902  https://youtu.be/1taLTJPwhCg  [74.125.106.105]                                ip-172-31-4-22
1661  2020-10-27 18:22:17.294908  https://youtu.be/1taLTJPwhCg  [173.194.22.234]                                ip-172-31-4-22
1709  2020-10-28 00:21:12.904832  https://youtu.be/1taLTJPwhCg  [173.194.22.234]                                ip-172-31-4-22
1757  2020-10-28 06:20:54.589447  https://youtu.be/1taLTJPwhCg  [74.125.106.105]                                ip-172-31-4-22
1805  2020-10-29 12:20:08.570641  https://youtu.be/1taLTJPwhCg  [173.194.22.234]                                ip-172-31-4-22
1853  2020-10-29 18:20:54.826344  https://youtu.be/1taLTJPwhCg  [173.194.22.234]                                ip-172-31-4-22
1901  2020-10-30 00:20:27.160554  https://youtu.be/1taLTJPwhCg  [74.125.106.105]                                ip-172-31-4-22
1949  2020-10-30 06:19:46.554848  https://youtu.be/1taLTJPwhCg  [173.194.22.234]                                ip-172-31-4-22


https://youtu.be/2f0leNcB9fU
                              ID                           Url                                 IP      VantagePoint
19    2020-10-27 12:09:58.158435  https://youtu.be/2f0leNcB9fU  [173.194.167.7, 74.125.103.24]     ip-172-31-14-163
68    2020-10-27 18:08:48.623181  https://youtu.be/2f0leNcB9fU  [173.194.167.7]                    ip-172-31-14-163
117   2020-10-28 00:09:04.265265  https://youtu.be/2f0leNcB9fU  [74.125.170.216, 74.125.103.24]    ip-172-31-14-163
166   2020-10-28 06:08:41.411501  https://youtu.be/2f0leNcB9fU  [173.194.167.7]                    ip-172-31-14-163
215   2020-10-29 12:09:17.492290  https://youtu.be/2f0leNcB9fU  [173.194.167.7]                    ip-172-31-14-163
264   2020-10-29 18:08:35.538453  https://youtu.be/2f0leNcB9fU  [173.194.167.7]                    ip-172-31-14-163
313   2020-10-30 00:08:09.141191  https://youtu.be/2f0leNcB9fU  [74.125.170.216]                   ip-172-31-14-163
362   2020-10-30 06:08:45.496302  https://youtu.be/2f0leNcB9fU  [173.194.167.7]                    ip-172-31-14-163
411   2020-10-27 12:09:19.407053  https://youtu.be/2f0leNcB9fU  [74.125.155.216, 209.85.164.231]   ip-172-31-85-175
460   2020-10-27 18:08:29.598646  https://youtu.be/2f0leNcB9fU  [74.125.155.216]                   ip-172-31-85-175
509   2020-10-28 00:08:50.678391  https://youtu.be/2f0leNcB9fU  [74.125.155.216]                   ip-172-31-85-175
558   2020-10-28 06:08:03.908746  https://youtu.be/2f0leNcB9fU  [172.217.135.39, 209.85.164.231]   ip-172-31-85-175
607   2020-10-29 12:08:13.658876  https://youtu.be/2f0leNcB9fU  [172.217.135.39]                   ip-172-31-85-175
656   2020-10-29 18:08:25.281223  https://youtu.be/2f0leNcB9fU  [74.125.155.216]                   ip-172-31-85-175
705   2020-10-30 00:08:04.592890  https://youtu.be/2f0leNcB9fU  [172.217.135.39]                   ip-172-31-85-175
754   2020-10-30 06:08:11.294902  https://youtu.be/2f0leNcB9fU  [172.217.135.39]                   ip-172-31-85-175
803   2020-10-27 12:09:47.694762  https://youtu.be/2f0leNcB9fU  [173.194.188.103, 173.194.187.39]  ip-172-31-43-135
852   2020-10-27 18:09:12.717628  https://youtu.be/2f0leNcB9fU  [173.194.187.39]                   ip-172-31-43-135
901   2020-10-28 00:08:32.506726  https://youtu.be/2f0leNcB9fU  [173.194.187.39]                   ip-172-31-43-135
950   2020-10-28 06:08:38.158857  https://youtu.be/2f0leNcB9fU  [173.194.188.103]                  ip-172-31-43-135
999   2020-10-29 12:09:04.653360  https://youtu.be/2f0leNcB9fU  [173.194.188.103]                  ip-172-31-43-135
1048  2020-10-29 18:08:47.279991  https://youtu.be/2f0leNcB9fU  [173.194.187.39]                   ip-172-31-43-135
1097  2020-10-30 00:08:23.021596  https://youtu.be/2f0leNcB9fU  [173.194.187.39]                   ip-172-31-43-135
1146  2020-10-30 06:08:31.617850  https://youtu.be/2f0leNcB9fU  [173.194.188.103]                  ip-172-31-43-135
1195  2020-10-27 12:11:01.817498  https://youtu.be/2f0leNcB9fU  [173.194.52.7, 74.125.101.231]     ip-172-31-13-30
1244  2020-10-27 18:10:43.820616  https://youtu.be/2f0leNcB9fU  [173.194.14.39, 74.125.101.231]    ip-172-31-13-30
1293  2020-10-28 00:09:42.813660  https://youtu.be/2f0leNcB9fU  [173.194.14.39]                    ip-172-31-13-30
1342  2020-10-28 06:08:44.838055  https://youtu.be/2f0leNcB9fU  [173.194.14.39]                    ip-172-31-13-30
1391  2020-10-29 12:08:55.481702  https://youtu.be/2f0leNcB9fU  [173.194.14.39]                    ip-172-31-13-30
1440  2020-10-29 18:08:36.262508  https://youtu.be/2f0leNcB9fU  [173.194.14.39]                    ip-172-31-13-30
1489  2020-10-30 00:09:10.115990  https://youtu.be/2f0leNcB9fU  [173.194.14.39]                    ip-172-31-13-30
1538  2020-10-30 06:09:02.411654  https://youtu.be/2f0leNcB9fU  [173.194.14.39]                    ip-172-31-13-30
1586  2020-10-27 12:11:29.115415  https://youtu.be/2f0leNcB9fU  [74.125.96.199, 74.125.101.231]    ip-172-31-4-22
1635  2020-10-27 18:10:21.107383  https://youtu.be/2f0leNcB9fU  [74.125.96.199]                    ip-172-31-4-22
1681  2020-10-28 00:09:30.322096  https://youtu.be/2f0leNcB9fU  [74.125.96.199]                    ip-172-31-4-22
1729  2020-10-28 06:09:06.451355  https://youtu.be/2f0leNcB9fU  [74.125.96.199]                    ip-172-31-4-22
1777  2020-10-29 12:09:16.123325  https://youtu.be/2f0leNcB9fU  [74.125.96.199]                    ip-172-31-4-22
1825  2020-10-29 18:09:34.714794  https://youtu.be/2f0leNcB9fU  [74.125.96.199]                    ip-172-31-4-22
1873  2020-10-30 00:09:07.264341  https://youtu.be/2f0leNcB9fU  [74.125.106.168, 74.125.101.231]   ip-172-31-4-22
1921  2020-10-30 06:08:55.360401  https://youtu.be/2f0leNcB9fU  [74.125.96.199]                    ip-172-31-4-22



https://youtu.be/2rcKpY-4QBI
                              ID                           Url                               IP      VantagePoint
32    2020-10-27 12:16:08.282463  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
81    2020-10-27 18:14:14.626685  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
130   2020-10-28 00:14:19.716335  https://youtu.be/2rcKpY-4QBI  [74.125.170.187]                 ip-172-31-14-163
179   2020-10-28 06:13:45.571821  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
228   2020-10-29 12:14:00.312383  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
277   2020-10-29 18:13:26.051054  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
326   2020-10-30 00:13:14.601281  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
375   2020-10-30 06:13:28.496167  https://youtu.be/2rcKpY-4QBI  [173.194.12.75]                  ip-172-31-14-163
424   2020-10-27 12:15:32.508211  https://youtu.be/2rcKpY-4QBI  [172.217.135.42]                 ip-172-31-85-175
473   2020-10-27 18:13:52.244041  https://youtu.be/2rcKpY-4QBI  [172.217.135.42]                 ip-172-31-85-175
522   2020-10-28 00:13:51.278691  https://youtu.be/2rcKpY-4QBI  [172.217.135.42]                 ip-172-31-85-175
571   2020-10-28 06:13:15.273333  https://youtu.be/2rcKpY-4QBI  [74.125.155.203]                 ip-172-31-85-175
620   2020-10-29 12:13:23.269220  https://youtu.be/2rcKpY-4QBI  [74.125.155.203]                 ip-172-31-85-175
669   2020-10-29 18:13:23.755490  https://youtu.be/2rcKpY-4QBI  [74.125.155.203]                 ip-172-31-85-175
718   2020-10-30 00:12:50.283431  https://youtu.be/2rcKpY-4QBI  [172.217.135.42]                 ip-172-31-85-175
767   2020-10-30 06:13:26.027603  https://youtu.be/2rcKpY-4QBI  [172.217.135.42]                 ip-172-31-85-175
816   2020-10-27 12:15:53.033421  https://youtu.be/2rcKpY-4QBI  [74.125.173.138, 74.125.13.133]  ip-172-31-43-135
865   2020-10-27 18:14:21.840738  https://youtu.be/2rcKpY-4QBI  [173.194.187.42, 74.125.13.133]  ip-172-31-43-135
914   2020-10-28 00:13:32.579842  https://youtu.be/2rcKpY-4QBI  [74.125.173.138, 74.125.13.133]  ip-172-31-43-135
